"Symbol","Name","Price","changes","changess","Volume","Avg_Vol","Market_Cap","PE_Ratio"
"AAPL","Apple Inc.","201","-2","-0.82%","24.62M","27.451M","928.343B","17.07"
"ABEV","Ambev S.A.","5","0","-0.98%","27.31M","25.714M","77.613B","28.69"
"AMD","Advanced Micro Devices, Inc.","34","0","+0.80%","132.484M","68.863M","43.129B","188.9"
"AMRN","Amarin Corporation plc","15","-3","-17.07%","28.445M","8.075M","5.573B","nan"
"APC","Anadarko Petroleum Corporation","73","1","+0.78%","24.205M","10.001M","36.548B","nan"
"AUY","Yamana Gold Inc.","3","0","-2.26%","19.094M","14.369M","3.294B","nan"
"BAC","Bank of America Corporation","28","0","-0.18%","52.602M","49.519M","268.337B","10.08"
"CHK","Chesapeake Energy Corporation","1","0","-2.04%","42.269M","50.401M","2.489B","nan"
"DBX","Dropbox, Inc.","19","-3","-12.81%","19.605M","4.554M","7.953B","nan"
"DXC","DXC Technology Company","36","-16","-30.47%","20.731M","2.884M","9.953B","8.54"
"F","Ford Motor Company","9","0","-1.15%","38.348M","37.049M","37.823B","17.5"
"FCX","Freeport-McMoRan Inc.","10","0","-3.66%","19.492M","19.28M","14.202B","14.3"
"FTCH","Farfetch Limited","10","-8","-44.49%","33.376M","3.191M","3.038B","nan"
"GE","General Electric Company","9","0","-3.58%","75.855M","51.366M","79.853B","nan"
"INTC","Intel Corporation","46","-1","-2.52%","24.975M","23.602M","203.691B","10.68"
"MSFT","Microsoft Corporation","138","-1","-0.85%","23.467M","24.688M","1.051T","27.22"
"MU","Micron Technology, Inc.","42","-1","-2.60%","22.9M","30.045M","45.841B","4.8"
"NKTR","Nektar Therapeutics","21","-9","-29.25%","22.805M","1.613M","3.744B","nan"
"NOK","Nokia Corporation","5","0","+0.19%","22.215M","22.897M","30.541B","nan"
"PFE","Pfizer Inc.","36","-1","-1.41%","21.61M","24.933M","203.706B","16.8"
"RIG","Transocean Ltd.","4","0","-5.46%","24.985M","17.68M","2.609B","nan"
"SNAP","Snap Inc.","17","0","+1.31%","25.258M","30.142M","24.671B","nan"
"SYMC","Symantec Corporation","23","0","+0.31%","29.213M","9.589M","15.904B","534.65"
"UBER","Uber Technologies, Inc.","40","-3","-6.80%","34.978M","16.351M","74.533B","nan"
"WFC","Wells Fargo & Company","46","0","-0.22%","18.748M","19.255M","206.63B","9.56"
